Name,Type,RA,Dec,Const,MajAx,MinAx,PosAng,B-Mag,V-Mag,J-Mag,H-Mag,K-Mag,SurfBr,Hubble,Cstar U-Mag,Cstar B-Mag,Cstar V-Mag,M,NGC,IC,Cstar Names,Identifiers,Common names,NED notes,OpenNGC notes
NGC0292,G,00:52:44.78,-72:49:43.0,Tuc,299.92,179.89,45,2.79,2.20,,,,23.42,SBm,,,,,,,,"ESO 029-021,PGC 003085",Small Magellanic Cloud,,
NGC6231,OCl,16:54:10.92,-41:49:27.3,Sco,13.80,,,2.83,2.60,,,,,,,,,,,,,"C 076,MWSC 2481",,,
NGC7078,GCl,21:29:58.38,+12:10:00.6,Peg,11.10,,,3.00,6.30,,,,,,,,,15,,,,"IRAS 21274+1156,MWSC 3518,PN G065.0-27.3",,,V-mag taken from LEDA
NGC3372,HII,10:45:08.53,-59:52:00.1,Car,120.00,120.00,,3.00,,,,,,,,,,,,,,C 092,"Carina Nebula,eta Car Nebula",,Dimensions and B-Mag taken from LEDA
NGC3532,OCl,11:05:47.82,-58:46:13.8,Car,12.00,,,3.28,3.00,,,,,,,,,,,,,"C 091,MWSC 1890",Wishing Well Cluster,,
NGC6475,OCl,17:53:51.18,-34:47:34.2,Sco,22.20,,,3.45,3.30,,,,,,,,,7,,,,MWSC 2739,Ptolemy's Cluster,,
NGC2632,OCl,08:40:22.20,+19:40:19.4,Cnc,108.60,,,3.46,3.10,,,,,,,,,44,,,,MWSC 1527,"Beehive,Praesepe Cluster",,
NGC2516,OCl,07:58:07.06,-60:45:12.5,Car,24.30,,,3.84,3.80,,,,,,,,,,,,,"C 096,MWSC 1393",,,
IC4592,RfN,16:11:58.67,-19:27:16.8,Sco,60.00,40.00,,3.90,,,,,,,,,,,,,,LBN 1113,,Very large nebula + bright star.  Position on nu2 Scorpii.,
NGC1976,Cl+N,05:35:16.48,-05:23:22.8,Ori,90.00,60.00,,4.00,4.00,,,,,,,,,42,,,,"LBN 974,MWSC 0582","Great Orion Nebula,Orion Nebula",,"B-Mag taken from LEDA, V-mag taken from HEASARC's messier table"
NGC7000,HII,20:59:17.14,+44:31:43.6,Cyg,120.00,30.00,,4.00,,,,,,,,,,,,,,"C 020,LBN 373",North America Nebula,,B-Mag taken from LEDA
NGC0869,OCl,02:18:58.56,+57:07:02.1,Per,14.40,,,4.30,3.70,,,,,,,,,,,,,MWSC 0175,h Persei Cluster,,Caldwell 14 refers to both NGC869 and NGC884
NGC0224,G,00:42:44.35,+41:16:08.6,And,177.83,69.66,35,4.36,3.44,2.09,1.28,0.98,23.63,Sb,,,,31,,,,"2MASX J00424433+4116074,IRAS 00400+4059,MCG +07-02-016,PGC 002557,UGC 00454",Andromeda Galaxy,,
NGC0884,OCl,02:22:32.10,+57:08:38.8,Per,10.50,,,4.40,3.80,,,,,,,,,,,,,MWSC 0184,chi Persei Cluster,,Caldwell 14 refers to both NGC869 and NGC884
NGC2422,OCl,07:36:35.02,-14:28:57.4,Pup,19.80,,,4.42,4.40,,,,,,,,,47,2478,,,MWSC 1278,,,
NGC3114,OCl,10:02:29.57,-60:07:49.9,Car,12.30,,,4.47,4.20,,,,,,,,,,,,,MWSC 1749,,,
NGC6405,OCl,17:40:20.75,-32:15:15.0,Sco,15.60,,,4.48,4.20,,,,,,,,,6,,,,MWSC 2661,Butterfly Cluster,,
IC4665,OCl,17:46:27.18,+05:38:55.4,Oph,24.60,,,4.49,4.20,,,,,,,,,,,,,MWSC 2689,,,
IC2944,Cl+N,11:35:46.93,-63:01:11.4,Cen,7.20,,,4.50,,,,,,,,,,,,,,"C 100,HD 100841,HIP 056561,MWSC 1957",lam Cen Nebula,"Position is for Lambda Centauri, more or less centered in 40' x 20' nebula.",B-Mag taken from LEDA. 
IC4816,Nova,19:01:50.52,-13:09:42.6,Sgr,,,,4.50,,15.61,15.33,14.84,,,,,,,,,,"2MASS J19015056-1309420,HD 176654",,This is Nova Sgr 1898 = V1059 Sgr.,
NGC7092,OCl,21:31:48.32,+48:26:17.4,Cyg,19.50,,,4.66,4.60,,,,,,,,,39,,,,MWSC 3521,,,
IC4605,Neb,16:30:12.48,-25:06:54.6,Sco,30.00,15.00,,4.70,,,,,,,,,,,,,,"HD 148605,HIP 080815,LBN 1110",,Three Galactic stars embedded in nebulosity.,
NGC6530,Cl+N,18:04:31.03,-24:21:29.0,Sgr,6.00,,,4.74,4.60,,,,,,,,,,,,,MWSC 2798,,,
NGC2547,OCl,08:10:09.49,-49:12:20.4,Vel,7.80,,,4.75,4.70,,,,,,,,,,,,,MWSC 1437,,,
IC2581,OCl,10:27:29.15,-57:37:02.3,Car,6.00,,,4.79,4.30,,,,,,,,,,,,,MWSC 1805,,,
NGC3293,OCl,10:35:48.77,-58:13:28.1,Car,5.10,,,4.84,4.70,,,,,,,,,,,,,MWSC 1826,,,
NGC2287,OCl,06:45:59.94,-20:45:15.2,CMa,12.00,,,4.89,4.50,,,,,,,,,41,,,,MWSC 0978,,,
IC4756,OCl,18:38:51.51,+05:27:43.8,Se2,24.00,,,4.96,4.60,,,,,,,,,,,,,MWSC 2967,,,
NGC2070,HII,05:38:42.36,-69:06:03.2,Dor,16.00,16.00,,5.00,7.25,,,,,,,,,,,,,C 103,"30 Dor Cluster,Tarantula Nebula",In the Large Magellanic Cloud.,B-Mag taken from LEDA
NGC1499,Neb,04:03:14.42,+36:22:02.9,Per,160.00,40.00,,5.00,,,,,,,,,,,,,,LBN 756,California Nebula,,B-Mag taken from LEDA
NGC6523,Neb,18:03:41.27,-24:22:48.6,Sgr,45.00,30.00,,5.00,5.80,,,,,,,,,8,6533,,,LBN 25,Lagoon Nebula,Nominal position for NGC 6533 is -30 arcmin in error.,"B-Mag taken from LEDA, V-mag taken from HEASARC's messier table"
NGC6633,OCl,18:27:15.23,+06:30:29.6,Oph,12.00,,,5.01,4.60,,,,,,,,,,,,,MWSC 2917,,,
IC4604,Neb,16:25:31.17,-23:26:11.7,Oph,60.00,25.00,,5.10,,,,,,,,,,,,,,LBN 1111,rho Oph Nebula,Three Galactic stars embedded in nebulosity.,
NGC2239,Cl+N,06:31:55.56,+04:56:34.6,Mon,9.30,,,5.26,4.80,,,,,,,,,,2244,,,"C 050,MWSC 0896",,,
NGC6025,OCl,16:03:17.79,-60:25:52.9,TrA,11.40,,,5.26,5.10,,,,,,,,,,,,,"C 095,MWSC 2347",,,
IC4725,OCl,18:31:46.77,-19:06:53.8,Sgr,14.10,,,5.29,4.60,,,,,,,,,25,,,,,,,
NGC2168,OCl,06:09:05.06,+24:20:19.1,Gem,24.00,,,5.31,5.10,,,,,,,,,35,,,,MWSC 0754,,,
NGC1039,OCl,02:42:07.40,+42:44:46.1,Per,22.50,,,5.37,5.20,,,,,,,,,34,,,,MWSC 0223,,,
