id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
676,677,358,15,,21Alp And,Alpheratz,0.139791,29.090432,29.7442,135.68,-162.95,-12.0,2.070,-0.297,B9p,-0.038,25.974572,0.951042,14.461264,-0.00000002,0.00001958,-0.00002650,0.03659716270801560,0.5077238184659450,0.0000006577952017777780,-0.000000790003892,Alp,21,And,1,676,,114.49855346901900,Alp,2.083,2.063
744,746,432,21,Gl 8,11Bet Cas,Caph,0.152887,59.149780,16.7842,523.39,-180.42,11.3,2.280,1.155,F2III-IV,0.380,8.600014,0.344589,14.409503,0.00001681,0.00004329,0.00000239,0.040025852830323300,1.0323584043676300,0.0000025374663226597200,-0.000000874700842,Bet,11,Cas,1,744,,30.06076302628230,Bet,2.303,2.263
763,765,496,25,Gl 9.1,Eps Phe,,0.156836,-45.747426,44.2087,122.15,-180.13,-9.2,3.880,0.652,K0III,1.013,30.823770,1.266396,-31.665333,-0.00003526,0.00002475,-0.00002020,0.04105967874921950,-0.7984432093302180,0.0000005921999107986110,-0.000000873294882,Eps,,Phe,1,763,,47.7749234659094,,,
1065,1067,886,39,,88Gam Peg,Algenib,0.220598,15.183596,120.0480,4.70,-8.24,4.0,2.830,-2.567,B2IV,-0.190,115.664183,6.687324,31.442127,0.00000504,0.00000303,-0.00000356,0.05775241337962610,0.2650037404493390,0.000000022786242986111100,-0.000000039948647,Gam,88,Peg,1,1065,,926.4031007363990,Gam,2.846,2.816
1559,1562,1522,74,,8Iot Cet,,0.323799,-8.823921,84.1751,-14.37,-37.84,19.0,3.560,-1.066,K2III,1.214,82.880324,7.042663,-12.912353,0.00001727,-0.00000442,-0.00001824,0.08477025140739840,-0.15400648121809000,-0.00000006966772589583330,-0.000000183453496,Iot,8,Cet,1,1559,,232.4877101501650,,,
2016,2021,2151,98,Gl 19,Bet Hyi,,0.427916,-77.254247,7.4588,2220.12,324.37,22.9,2.820,3.457,G2IV,0.618,1.635267,0.184517,-7.275205,0.00000754,0.00008163,-0.00002026,0.11202811014799200,-1.3483409638363200,0.000010763445484750000,0.000001572590135,Bet,,Hyi,1,2016,,3.6074473386419200,,,
2069,2072,2262,100,Gl 20,Kap Phe,,0.436716,-43.679829,23.8095,106.14,32.83,11.3,3.930,2.046,A7V,0.175,17.106924,1.964466,-16.443574,0.00000951,0.00001342,-0.00000524,0.11433201758585500,-0.7623568403121040,0.0000005145812405416670,0.000000159164331,Kap,,Phe,1,2069,,13.231223331133700,,,
2076,2081,2261,99,,Alp Phe,Ankaa,0.438056,-42.305981,25.9740,232.76,-353.64,75.0,2.400,0.327,K0III...,1.083,19.083654,2.198282,-17.483284,0.00002323,0.00003218,-0.00008456,0.11468290295782500,-0.7383786688321160,0.000001128452322861110,-0.000001714495099,Alp,,Phe,1,2076,,64.44659847416880,,,
2914,2920,3360,153,,17Zet Cas,,0.616188,53.896909,181.8182,17.77,-9.15,2.0,3.690,-2.608,B2IV,-0.196,105.743565,17.207892,146.901502,0.00000511,0.00001670,-0.00000310,0.16131768182467200,0.9406785238460540,0.00000008615139103472220,-0.000000044360451,Zet,17,Cas,1,2914,,962.0552191862150,,,
3086,3092,3627,165,,31Del And,,0.655462,30.861024,32.3520,115.38,-83.05,-7.0,3.270,0.720,K3III...,1.268,27.363473,4.742224,16.595166,-0.00000256,0.00001792,-0.00001485,0.17159965555771500,0.5386264769195910,0.000000559378024625,-0.000000402637761,Del,31,And,1,3086,,44.87453899331320,,,
3172,3179,3712,168,,18Alp Cas,Shedir,0.675116,56.537331,69.9790,50.36,-32.17,-4.0,2.240,-1.985,K0II-IIIvar,1.170,37.984817,6.784483,58.379619,0.00000374,0.00001802,-0.00000943,0.17674488133148300,0.9867625763100910,0.00000024415216952777800,-0.000000155964561,Alp,18,Cas,1,3172,,542.0008904016240,Alp,2.25,2.23
3413,3419,4128,188,Gl 31,16Bet Cet,Diphda,0.726490,-17.986605,29.5334,232.79,32.71,13.3,2.040,-0.312,K0III,1.019,27.583638,5.310463,-9.119792,0.00000782,0.00003545,0.00000025,0.19019464223046100,-0.31392547040265200,0.0000011285977669652800,0.000000158582554,Bet,16,Cet,1,3413,,116.09138701261800,,,
3814,3821,4614,219,Gl 34A,24Eta Cas,,0.818260,57.815187,5.9531,1087.11,-559.65,8.2,3.460,4.586,G0V SB,0.587,3.098462,0.674227,5.038376,0.00001105,0.00003451,-0.00000150,0.2142198755075240,1.0090653769770700,0.000005270458002687500,-0.000002713259763,Eta,24,Cas,1,3814,Gl  34,1.2752637064597300,Eta,3.507,3.457
4417,4427,5394,264,,27Gam Cas,Cih,0.945143,60.716740,168.3502,25.65,-3.82,-7.0,2.150,-3.981,B0IV:evar,-0.046,79.836717,20.168018,146.837047,-0.00000589,0.00002010,-0.00000777,0.2474379511037040,1.0597070289510300,0.0000001243547090625,-0.000000018519882,Gam,27,Cas,1,4417,,3407.218616593570,Gam,2.173,2.133
4426,4436,5448,269,,37Mu  And,,0.945885,38.499345,39.7772,152.78,36.82,8.0,3.860,0.862,A5V,0.130,30.180673,7.630372,24.761577,-0.00000530,0.00002905,0.00001065,0.2476321701104850,0.6719403219484740,0.0000007406983411527780,0.000000178508397,Mu,37,And,1,4426,,39.37313537008500,,,
5154,5165,6595,322,,Bet Phe,,1.101407,-46.718414,100000.0000,-70.16,31.60,-1.0,3.320,-16.680,G8IIIvar,0.885,65728.037190,19495.774096,-72799.312620,0.02036281,-0.02943628,0.01050305,0.2883477037288150,-0.8153901374901740,-0.0000003401452782777780,0.000000153201123,Bet,,Phe,1,5154,,409260659.730011,,,
5337,5348,6882,338,,Zet Phe,,1.139742,-55.245760,91.5751,21.17,29.70,15.0,3.940,-0.869,B6V + B0V,-0.120,49.896436,15.346501,-75.238648,0.00001595,0.00001474,-0.00000509,0.2983838460567420,-0.9642204110904490,0.00000010263505617361100,0.000000143989663,Zet,,Phe,1,5337,,193.9099078614850,Zet,4.199,3.929
5353,5364,6805,334,NN 3075,31Eta Cet,,1.143164,-10.182264,37.9939,215.81,-138.33,12.9,3.460,0.561,K2III,1.161,35.733354,11.025427,-6.716585,-0.00000361,0.00004048,-0.00002741,0.29927957191853500,-0.177714035124185,0.0000010462764040069400,-0.000000670642764,Eta,31,Cet,1,5353,,51.95172830110680,,,
5436,5447,6860,337,Gl 53.3,43Bet And,Mirach,1.162194,35.620558,60.5327,175.59,-112.23,-0.8,2.070,-1.840,M0IIIvar,1.576,46.946371,14.741814,35.255129,0.00000223,0.00005471,-0.00002725,0.30426179273799000,0.6216960120690610,0.0000008512843416875,-0.000000544106393,Bet,43,And,1,5436,,474.2419852602450,,,
6523,6537,8512,402,,45The Cet,,1.400390,-8.183257,34.8918,-78.38,-206.88,17.0,3.600,0.886,K0III,1.065,32.241501,12.380133,-4.966510,0.00001617,-0.00000799,-0.00003711,0.36662135102657500,-0.1428247700972430,-0.0000003799969628194440,-0.000001002982542,The,45,Cet,1,6523,,38.51234824289310,,,
6672,6686,8538,403,,37Del Cas,Ruchbah,1.430216,60.235283,30.4785,297.24,-49.49,7.0,2.660,0.240,A5Vv SB,0.160,14.082378,5.534130,26.457567,-0.00000685,0.00004450,0.00000258,0.37442958727661100,1.0513040155749600,0.0000014410601840833300,-0.00000023993429,Del,37,Cas,1,6672,,69.82324040771710,Del,2.666,2.656
6853,6867,9053,429,,Gam Phe,,1.472759,-43.318234,71.6332,-18.21,-207.71,26.0,3.410,-0.866,K5II-III,1.542,48.291055,19.600485,-49.144111,-0.00002555,-0.00001719,-0.00007072,0.38556730351000200,-0.7560458063068310,-0.00000008828457122916670,-0.000001007006495,Gam,,Phe,1,6853,,193.37485452952600,Gam,3.478,3.388
7068,7083,9362,440,,Del Phe,,1.520851,-49.072702,43.5730,138.22,154.20,-7.0,3.930,0.734,K0III-IV,0.972,26.311780,11.067445,-32.921160,0.00000704,0.00003464,0.00002675,0.39815775445785600,-0.8564802246514190,0.000000670109469263889,0.000000747582695,Del,,Phe,1,7068,,44.299619910036400,,,
7083,7097,9270,437,,99Eta Psc,,1.524725,15.345823,107.1811,25.73,-3.29,15.0,3.620,-1.531,G8III,0.974,95.233975,40.171366,28.364911,0.00000885,0.00001824,0.00000241,0.3991719864974000,0.26783513743426200,0.00000012474256000694400,-0.00000001595037,Eta,99,Psc,1,7083,,356.77958828856300,,,
7574,7588,10144,472,,Alp Eri,Achernar,1.628556,-57.236757,42.7533,88.02,-40.08,16.0,0.450,-2.705,B3Vp,-0.158,21.065573,9.568417,-35.951967,-0.00000584,0.00001738,-0.00001826,0.42635506591376400,-0.9989698692415760,0.00000042673300162500000,-0.000000194313323,Alp,,Eri,1,7574,,1051.9618738232200,Alp,0.487,0.427
7593,7607,9927,464,,51    And,,1.633205,48.628213,54.3183,60.90,-112.42,16.0,3.590,-0.085,K3III,1.275,32.669331,14.886999,40.762548,0.00002341,0.00002829,-0.00000729,0.42757205945090000,0.8487224280090340,0.00000029525153145833300,-0.000000545027539,,51,And,1,7593,,94.18895965228410,,,
